ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
9095,C,Ship,6,3,253,4,medium,F,9,1823,0
8438,F,Ship,5,1,267,4,low,M,5,5792,0
1580,F,Ship,3,5,137,3,high,F,28,1815,1
5351,C,Flight,5,5,103,6,medium,F,2,4860,0
9163,D,Road,5,3,222,6,low,M,9,1656,0
8787,A,Ship,5,1,213,2,high,F,10,5607,1
5271,A,Ship,6,4,306,4,low,F,6,1461,0
396,F,Road,4,4,183,3,low,M,29,3251,1
7296,F,Ship,4,3,252,2,low,M,6,5266,1
4125,A,Flight,4,1,233,2,low,M,7,4403,1
10265,C,Road,3,4,136,3,low,F,4,5368,0
7253,C,Road,5,4,257,3,medium,F,3,4895,1
6700,B,Road,5,2,173,2,high,F,10,4741,0
10003,D,Flight,4,4,153,3,medium,M,3,4422,1
1546,B,Ship,4,3,251,3,medium,F,46,2632,1
5675,C,Ship,3,5,141,3,medium,M,10,5775,0
1772,F,Road,3,3,242,3,low,F,7,3127,1
4022,F,Ship,3,5,194,3,low,M,8,5726,1
7096,B,Ship,5,2,195,6,high,M,5,5339,1
2304,F,Road,3,3,181,2,medium,F,52,3236,1
3396,F,Ship,6,5,224,4,medium,M,6,4616,0
7475,C,Ship,5,4,263,4,low,F,2,1625,0
3823,D,Road,3,5,163,3,low,M,5,4570,0
8305,D,Ship,3,2,245,3,medium,F,7,4121,0
3419,C,Road,4,4,266,3,medium,F,2,5413,1
4530,F,Flight,4,5,142,10,high,F,5,4147,1
2819,C,Ship,3,1,164,3,medium,F,9,1803,1
6697,D,Road,3,4,151,4,medium,F,1,4587,1
6890,F,Ship,6,2,279,4,low,M,1,1150,1
1144,B,Ship,3,3,224,2,low,F,37,3220,1
5099,C,Ship,5,5,240,2,low,F,7,4409,1
8040,F,Ship,4,1,245,5,low,F,3,1537,0
5396,F,Ship,4,3,248,3,low,M,5,4781,1
9768,F,Ship,5,5,124,3,low,M,10,4331,0
7215,A,Ship,6,1,273,4,low,M,3,1361,1
10170,F,Ship,5,5,151,3,medium,M,2,5506,0
8773,D,Flight,3,3,196,4,low,F,9,5631,1
3636,F,Ship,5,5,152,6,medium,M,2,4915,1
4468,B,Ship,2,3,176,3,low,F,6,5006,0
5142,F,Ship,4,5,240,5,low,M,8,4558,0
7762,B,Ship,4,1,241,5,low,F,4,1145,0
3133,D,Road,3,5,251,3,low,F,21,2476,1
9226,B,Ship,5,4,244,6,high,F,3,4089,0
6301,D,Flight,6,4,258,4,low,F,2,1051,1
8436,F,Ship,3,3,234,3,low,F,6,5652,0
5795,C,Ship,5,4,179,6,medium,F,8,4615,1
8650,B,Ship,7,5,273,4,medium,M,9,1329,1
3331,D,Ship,6,3,224,6,high,M,8,5661,0
2899,D,Ship,4,2,180,3,low,M,22,1261,1
2924,F,Ship,4,3,134,3,high,F,22,1629,1
7417,D,Ship,4,1,242,6,low,M,4,1791,1
10102,B,Ship,4,3,203,2,low,M,8,5597,0
10606,B,Ship,5,2,254,3,low,F,9,5714,1
9739,D,Flight,4,1,161,3,low,M,1,4789,0
6954,F,Ship,3,1,207,2,low,F,7,5596,0
10357,D,Ship,4,2,185,2,medium,M,5,4066,0
8,F,Flight,4,1,233,2,low,F,48,2804,1
5702,F,Ship,4,4,147,4,low,F,8,5882,0
4635,A,Road,5,3,263,3,medium,F,2,4688,0
6533,C,Ship,3,5,260,4,medium,F,8,4162,1
1499,C,Road,4,5,162,2,medium,M,62,1650,1
7165,D,Ship,5,4,225,5,low,M,7,1476,0
506,F,Ship,3,1,219,2,low,F,39,2696,1
6320,F,Ship,4,3,252,3,medium,F,7,4852,0
10830,F,Flight,4,4,199,4,high,M,1,4163,1
4463,C,Ship,5,4,182,3,medium,F,7,5677,1
10330,B,Ship,4,2,191,2,medium,F,8,4806,1
3502,B,Ship,4,2,247,3,medium,M,8,4977,0
1763,C,Road,4,2,190,4,medium,M,61,2077,1
2267,C,Ship,5,3,194,3,medium,F,6,2736,1
4511,C,Road,4,2,108,10,medium,M,5,4645,0
6417,A,Road,4,3,143,4,medium,F,2,4919,0
3404,F,Road,3,1,119,2,low,F,10,4146,1
3583,D,Ship,3,4,182,3,medium,F,2,5281,1
6950,F,Ship,3,4,187,3,low,F,9,4725,1
3406,B,Road,3,5,139,2,medium,M,7,5536,0
9663,A,Ship,6,4,292,4,medium,F,1,1372,1
9610,B,Ship,4,3,231,3,medium,F,8,5069,1
4920,F,Road,2,1,228,2,medium,M,10,4854,1
3095,C,Ship,4,4,243,3,low,F,36,2111,1
10478,F,Ship,5,1,248,5,low,M,3,1642,1
10032,F,Ship,4,1,139,3,medium,F,7,4275,0
2575,D,Ship,4,1,189,2,medium,F,63,3474,1
10203,A,Ship,4,5,233,5,low,F,8,1040,1
1159,D,Ship,4,3,246,2,low,M,55,2387,1
2578,B,Road,3,1,175,2,low,M,42,1668,1
6887,C,Ship,6,3,278,4,high,F,3,1033,0
580,B,Ship,2,5,201,3,medium,F,29,3894,1
9491,C,Ship,4,1,155,3,medium,M,9,4443,0
6786,F,Ship,4,3,189,2,low,F,7,4765,0
4370,F,Road,3,5,244,3,low,M,3,4652,1
9878,F,Flight,3,4,243,3,medium,M,6,4950,0
7690,B,Ship,3,2,199,3,medium,F,8,4164,1
1428,F,Ship,4,5,158,4,low,F,4,1595,1
3074,F,Ship,5,3,270,3,medium,M,38,3669,1
3884,F,Ship,3,4,238,3,medium,F,8,5337,1
2188,B,Flight,4,5,155,2,medium,M,41,1367,1
1356,F,Road,3,4,218,3,medium,F,4,3534,1
592,B,Ship,3,3,281,2,medium,M,55,3047,1
9435,A,Road,3,1,146,5,low,M,10,1737,0
5540,F,Ship,3,3,226,3,low,M,4,5048,0
3361,D,Ship,2,5,209,5,medium,F,10,4623,1
3202,B,Ship,3,5,205,4,low,M,2,1648,0
4362,F,Road,5,1,172,5,medium,F,1,4730,0
5064,F,Road,4,2,209,2,medium,F,9,5131,0
7508,F,Ship,5,2,248,5,medium,F,9,1973,0
3720,F,Ship,3,1,252,4,high,M,4,4303,0
5471,C,Road,6,5,264,4,low,M,1,1039,1
10715,C,Ship,5,4,254,5,low,M,10,1350,0
8041,D,Ship,4,5,226,5,medium,M,8,1133,0
3017,C,Flight,5,5,195,3,low,M,55,2641,1
9743,C,Flight,3,3,154,2,low,M,1,5884,1
2981,C,Ship,3,3,200,3,low,M,4,3791,1
3723,A,Ship,4,2,174,3,medium,F,10,4318,0
2393,C,Ship,4,1,221,3,low,F,3,2546,1
10191,A,Ship,5,5,235,5,low,M,8,1332,1
8113,D,Ship,3,4,240,3,high,F,6,4412,0
9643,D,Ship,5,2,137,3,low,F,1,5242,0
2319,A,Road,5,2,187,2,medium,F,29,2863,1
7848,F,Ship,4,5,177,3,medium,F,7,4243,1
7136,F,Flight,4,4,153,3,low,M,5,4624,0
4559,C,Ship,5,1,252,4,medium,M,4,1837,0
3137,C,Road,3,3,219,3,low,M,4,5956,0
9091,D,Ship,6,5,256,4,low,F,2,1163,0
2461,D,Road,3,3,199,2,low,M,4,3553,1
10089,A,Ship,4,1,267,4,medium,M,2,4024,0
8061,A,Road,5,5,186,4,low,M,3,4287,0
5837,C,Ship,4,2,168,3,low,M,3,4653,1
8561,C,Ship,5,4,221,6,medium,M,6,1488,1
6615,A,Ship,7,3,307,4,low,M,4,1653,0
4014,F,Ship,4,5,237,2,medium,F,10,4963,0
2934,F,Ship,6,3,273,4,medium,F,32,2532,1
2314,B,Road,6,4,174,3,medium,F,14,1651,1
4690,B,Ship,3,3,157,3,medium,M,10,4877,0
6240,F,Ship,3,4,175,3,medium,M,10,4771,1
10846,B,Ship,4,5,272,4,medium,F,9,5034,1
8175,A,Ship,5,5,198,2,medium,M,9,4526,0
7720,B,Ship,5,1,239,5,low,M,1,1239,0
9375,A,Ship,4,1,261,6,low,F,6,5861,0
5551,D,Ship,3,5,145,2,low,F,2,4232,1
6482,F,Ship,4,4,186,7,medium,M,9,5418,0
8365,D,Flight,5,5,232,6,low,M,2,1550,1
5603,C,Road,4,2,233,3,low,F,3,5740,1
4371,A,Road,4,2,221,3,low,M,10,5632,0
2303,C,Road,5,2,234,6,low,F,58,2448,1
4117,D,Flight,3,4,259,4,medium,F,5,4564,1
1343,C,Ship,4,4,216,2,medium,F,6,3255,1
5638,B,Ship,3,2,215,3,medium,F,10,4198,1
6524,F,Ship,3,3,261,8,low,M,10,4145,0
1583,C,Ship,3,3,143,3,low,M,64,1630,1
1517,C,Flight,3,5,182,3,medium,M,34,3595,1
9752,F,Ship,4,3,212,3,low,F,1,4518,0
9516,F,Ship,3,1,150,2,low,F,6,5697,0
146,F,Flight,2,2,248,2,low,M,46,3707,1
10199,C,Ship,5,5,239,6,low,M,1,1384,0
2247,A,Ship,3,2,177,2,medium,F,23,1929,1
2284,B,Ship,6,5,174,3,medium,F,32,1921,1
1531,D,Ship,5,2,241,3,low,M,39,3743,1
9881,C,Flight,6,3,296,4,low,F,4,1650,0
3026,F,Flight,5,4,182,4,low,M,61,3063,1
5874,F,Road,2,4,242,3,medium,M,8,4898,0
2398,B,Ship,3,3,139,2,low,M,9,1177,1
3856,B,Ship,3,3,185,4,low,F,6,4015,0
6635,C,Ship,4,4,203,2,low,F,4,4793,0
3116,F,Ship,4,4,134,3,low,F,14,1716,1
8732,F,Ship,5,2,238,2,low,M,5,5703,0
4388,F,Flight,5,2,165,3,medium,F,10,5598,0
3306,F,Ship,5,1,208,2,low,F,8,5218,0
10712,F,Ship,4,3,263,6,medium,M,10,1345,1
5885,C,Road,3,3,169,3,low,M,10,5147,0
121,D,Road,4,2,183,3,low,F,33,2741,1
4079,C,Ship,4,5,151,3,medium,F,10,5275,0
10325,C,Ship,4,1,269,3,low,F,7,5211,1
239,C,Ship,2,3,140,3,low,F,23,1372,1
1739,C,Ship,4,5,208,2,medium,M,33,2170,1
5355,A,Flight,4,5,140,5,medium,F,3,4191,1
10815,A,Road,5,1,174,5,medium,F,6,4677,0
8478,F,Road,5,1,268,3,medium,F,5,5663,0
4864,B,Ship,4,1,241,4,medium,M,9,5360,0
1675,D,Ship,3,3,267,2,low,M,18,2435,1
10314,F,Ship,3,2,229,6,medium,F,3,5689,1
5942,F,Ship,4,2,244,3,high,M,1,5559,1
2198,F,Flight,3,3,163,3,medium,F,65,1614,1
3999,A,Ship,3,3,256,3,medium,M,8,4070,0
10050,F,Ship,4,2,239,4,medium,M,8,4039,0
8250,F,Ship,5,1,103,5,low,F,10,5413,1
8553,A,Ship,4,4,228,5,low,F,1,1788,1
10450,B,Ship,4,3,233,5,low,M,5,1799,1
2245,D,Ship,5,4,163,4,medium,M,57,1613,1
770,F,Ship,4,1,114,3,medium,F,9,1240,1
1138,B,Ship,3,5,251,3,medium,M,59,3651,1
7651,D,Road,6,4,201,4,low,F,8,5355,1
3322,B,Ship,4,3,178,6,low,M,6,4203,0
7221,A,Ship,4,2,273,5,medium,F,8,2000,0
9672,F,Ship,6,5,245,4,low,F,7,1521,0
1951,D,Ship,4,3,148,2,low,M,29,1809,1
8800,B,Ship,2,4,248,3,low,F,7,4142,0
964,B,Flight,4,5,158,5,medium,F,55,1936,1
9514,B,Ship,3,3,249,4,low,M,7,5868,1
10211,C,Ship,5,5,270,5,low,M,5,1852,1
5536,B,Ship,7,1,244,5,medium,F,3,1418,1
10394,F,Road,3,5,241,3,medium,M,10,5099,1
1942,B,Ship,3,2,183,4,low,M,49,2414,1
788,F,Ship,5,1,160,3,medium,F,22,1693,1
6211,D,Ship,4,1,245,3,low,F,5,4523,0
5145,A,Ship,2,3,274,4,medium,F,10,4798,1
26,F,Ship,3,1,225,4,low,M,29,3496,1
9510,F,Ship,5,2,149,2,low,F,6,4661,0
1397,C,Ship,6,3,135,5,low,F,20,1266,1
3699,A,Flight,3,5,169,3,high,F,5,5750,0
6933,A,Ship,3,1,231,3,low,M,1,5392,1
6408,F,Ship,3,3,209,3,high,F,2,4036,1
7081,D,Ship,3,1,200,4,medium,F,9,5193,0
7208,F,Ship,6,5,307,4,high,M,3,1406,0
9596,F,Flight,4,5,249,3,low,F,7,5509,0
6886,B,Ship,4,3,245,6,low,F,3,1155,0
6510,F,Ship,5,5,265,5,medium,M,1,1568,0
2074,B,Ship,5,1,214,3,low,M,33,2562,1
9251,C,Ship,4,2,198,3,medium,M,10,5487,1
10911,A,Ship,5,5,264,8,high,F,10,5759,1
8905,D,Flight,6,4,270,4,low,F,10,1698,0
3633,A,Ship,3,1,205,2,medium,F,2,5322,0
5897,C,Flight,4,2,252,3,low,F,1,4176,0
129,A,Road,4,4,200,4,medium,M,16,2060,1
5230,B,Ship,4,2,268,6,medium,M,2,4348,0
5407,D,Ship,4,3,161,2,medium,M,3,4391,1
5871,A,Road,3,1,133,3,medium,M,6,5464,1
5392,B,Ship,4,4,222,2,medium,M,7,4343,0
8446,B,Ship,3,5,142,2,low,M,6,5974,1
10511,C,Ship,3,2,195,2,high,M,2,4669,1
4577,C,Ship,4,2,196,2,low,M,4,5852,0
6773,C,Ship,2,5,185,3,low,F,9,5810,0
6000,F,Ship,6,3,244,4,medium,M,5,1108,1
3161,C,Flight,3,3,123,5,medium,F,5,4292,0
4290,F,Ship,3,3,259,8,high,F,6,5939,0
1116,F,Ship,4,2,272,2,low,M,21,3271,1
2979,A,Ship,4,5,202,3,low,F,38,2651,1
5032,B,Ship,6,4,294,4,medium,M,6,1112,0
8889,A,Road,4,1,231,5,medium,F,10,1144,0
8952,F,Ship,6,5,150,3,medium,M,3,5747,0
493,D,Ship,3,4,128,3,medium,F,51,1524,1
313,D,Ship,3,3,140,3,medium,M,51,1046,1
3219,A,Ship,4,2,210,3,medium,F,1,4379,1
8744,F,Road,4,4,183,2,low,F,7,4572,1
4367,C,Road,2,5,216,3,medium,F,2,5098,0
8639,C,Flight,5,3,154,4,low,F,3,1066,1
7956,F,Flight,7,3,285,4,low,M,10,1935,1
3000,F,Road,5,2,168,2,medium,M,20,1539,1
10547,C,Flight,4,4,209,3,medium,M,7,4717,1
4831,D,Ship,4,4,106,2,low,M,6,5984,0
10976,F,Flight,5,2,219,5,low,M,10,1276,0
9369,A,Ship,3,3,189,3,medium,F,1,5896,1
3744,F,Ship,4,2,233,2,low,F,5,4817,0
1282,B,Ship,3,3,110,3,low,M,7,1235,1
1122,F,Ship,2,1,264,3,medium,M,10,3409,1
6910,B,Ship,6,4,299,4,low,F,9,1817,0
5397,A,Ship,5,3,245,3,medium,F,5,5663,0
10232,F,Ship,2,1,232,6,low,F,2,5281,1
4212,F,Ship,4,3,144,2,low,F,5,4882,0
2811,A,Ship,4,2,225,2,low,F,6,2010,1
3844,B,Flight,3,1,199,6,medium,F,7,4805,0
7649,C,Road,4,4,262,2,medium,M,1,4357,0
4254,F,Flight,5,5,133,2,low,F,10,4398,0
2253,A,Ship,4,1,173,2,medium,M,53,1251,1
4823,C,Ship,6,3,260,4,medium,M,9,1800,0
8721,A,Ship,3,3,187,2,low,F,7,4859,0
2755,D,Flight,4,5,138,7,medium,M,60,1366,1
8334,F,Road,4,1,262,6,low,M,1,1627,1
7061,C,Ship,3,1,173,3,low,F,3,4453,1
2634,F,Ship,3,4,229,6,medium,F,33,2815,1
4099,D,Road,3,2,250,3,medium,F,4,5361,0
5926,B,Ship,6,5,280,3,low,M,9,4074,1
713,C,Ship,4,2,201,3,medium,F,39,2066,1
8669,C,Ship,3,1,152,3,low,M,1,4949,1
1431,A,Ship,6,2,265,3,low,M,3,1904,1
478,B,Ship,3,4,254,2,high,F,41,3973,1
8317,D,Ship,6,5,263,4,low,M,10,1669,0
10067,C,Ship,3,3,209,3,low,M,1,5186,0
8232,F,Flight,4,2,256,4,low,F,7,5571,0
3187,D,Ship,3,1,123,5,medium,F,10,4231,0
1558,B,Ship,4,1,148,3,low,M,30,1731,1
10261,D,Road,5,4,200,3,medium,M,3,4225,0
5882,F,Road,3,4,143,3,low,F,1,4392,1
7994,F,Ship,4,2,254,7,low,F,6,5121,0
618,F,Ship,5,3,245,2,medium,F,8,3231,1
1916,F,Flight,5,2,156,2,medium,M,19,1311,1
817,D,Road,4,1,176,3,medium,F,36,1891,1
555,A,Flight,5,4,250,3,low,F,11,3373,1
2500,B,Ship,3,4,240,2,low,M,8,3883,1
7049,C,Ship,5,4,222,3,low,M,3,5555,0
461,C,Ship,4,1,202,3,medium,F,18,3940,1
5195,C,Road,4,2,262,3,low,F,9,4941,0
942,F,Road,5,4,165,2,high,M,46,1482,1
4475,C,Ship,6,3,142,2,low,F,9,5360,1
5012,F,Ship,6,2,152,2,low,M,6,1711,0
1497,A,Road,5,2,156,4,medium,M,39,1204,1
7755,A,Ship,7,5,285,4,low,M,6,1591,1
139,D,Flight,4,1,207,5,low,M,48,2399,1
9009,A,Ship,6,2,130,5,low,M,3,5654,0
8850,F,Ship,3,5,203,10,medium,F,1,4996,0
3297,A,Flight,5,4,233,2,low,F,7,4597,1
5480,F,Flight,3,2,209,2,medium,M,6,5095,1
3764,F,Ship,4,4,182,3,medium,F,8,5453,1
4478,F,Ship,5,4,226,2,low,M,6,4547,0
5713,D,Ship,6,5,263,7,high,M,7,5216,1
7725,A,Ship,6,1,247,4,low,F,4,1623,1
6586,B,Flight,7,2,275,4,medium,F,6,1513,0
3759,A,Ship,6,3,231,4,low,F,7,4553,1
2804,F,Ship,3,3,141,4,low,F,35,1417,1
3166,B,Flight,3,1,178,3,low,M,3,4811,0
936,F,Road,5,2,208,3,medium,M,8,3442,1
10171,D,Ship,5,2,208,8,medium,M,5,4751,0
1627,D,Road,5,2,240,7,medium,F,57,2708,1
8940,F,Ship,4,3,208,3,medium,F,7,4525,1
5895,A,Flight,4,3,142,2,low,F,5,5502,1
6141,A,Road,3,2,234,3,low,F,10,4781,0
1823,C,Ship,6,3,176,5,low,F,7,1767,1
9760,B,Ship,4,5,135,3,low,F,6,4557,0
10064,F,Ship,4,3,242,2,medium,M,2,5879,0
3659,C,Ship,3,2,243,3,medium,F,8,4093,0
3518,F,Ship,4,5,254,3,low,M,1,4377,1
9139,D,Ship,4,1,231,5,medium,M,6,1231,0
7445,C,Ship,3,1,223,7,high,M,5,4439,1
10367,C,Ship,4,3,160,2,low,M,9,5940,0
812,F,Road,4,1,182,3,medium,M,28,2005,1
10844,F,Ship,4,1,154,2,low,M,1,5578,0
1404,F,Ship,5,2,268,3,medium,F,41,3716,1
9109,D,Ship,4,5,184,2,medium,F,2,4429,0
1464,F,Ship,4,3,170,2,medium,F,33,1980,1
7940,F,Road,4,1,154,10,high,M,10,5674,1
6184,B,Ship,5,3,182,2,low,M,4,5579,0
6285,A,Road,5,2,249,5,medium,M,6,1298,0
6598,B,Ship,4,1,219,2,medium,F,2,1752,0
199,D,Ship,2,3,142,3,medium,F,38,7640,1
8245,D,Ship,4,1,144,4,low,F,10,4175,0
10917,A,Ship,5,1,224,5,low,M,1,1600,0
5144,F,Ship,5,2,206,2,medium,F,2,5627,1
9975,A,Road,5,2,192,2,low,M,5,4046,0
5046,F,Road,4,1,145,2,low,F,2,5209,0
1742,F,Ship,3,3,237,3,medium,M,47,3625,1
7003,D,Flight,4,1,173,4,low,F,5,5530,1
8227,D,Flight,4,1,245,3,low,F,9,4024,1
5402,F,Ship,5,3,245,4,high,M,8,4129,1
5556,F,Ship,5,1,106,5,medium,F,4,4180,0
2421,A,Ship,5,2,249,5,high,F,28,2846,1
6109,D,Ship,2,5,189,2,low,M,9,5245,0
5980,B,Ship,2,5,286,6,medium,F,3,4497,1
5865,A,Road,4,3,134,2,low,F,2,4522,0
10187,C,Ship,6,3,282,4,medium,F,8,1375,0
1008,F,Ship,4,5,170,3,low,F,9,1138,1
1427,C,Ship,6,3,294,4,low,M,52,1667,1
9100,B,Ship,6,5,282,4,low,M,5,1364,1
8301,A,Ship,5,2,184,3,low,F,4,4552,0
1309,D,Ship,5,4,141,3,medium,M,64,1677,1
10809,A,Road,2,4,155,5,low,M,9,1740,1
2681,C,Ship,5,2,243,2,medium,M,58,2758,1
5419,D,Ship,5,5,209,2,low,F,3,4348,0
3949,D,Road,4,1,258,3,medium,M,2,4188,0
3580,B,Ship,6,5,163,4,high,M,3,5118,1
10534,B,Road,3,2,188,3,medium,M,8,5709,0
2499,A,Ship,4,5,205,3,low,F,60,2317,1
2890,B,Flight,4,3,149,3,medium,M,17,1990,1
8503,D,Flight,5,1,179,2,high,M,8,5301,1
1854,F,Ship,3,3,190,7,medium,F,7,2400,1
10942,B,Road,5,1,218,5,medium,M,8,1651,1
5161,D,Ship,4,2,157,4,low,F,6,4964,0
5785,D,Ship,7,2,284,4,low,F,6,1550,1
6419,C,Road,4,1,195,3,low,M,2,4418,0
1989,A,Ship,4,4,252,6,medium,M,44,2676,1
811,D,Road,5,3,216,3,medium,F,1,2434,1
6895,D,Ship,6,5,308,4,low,M,2,1125,1
9236,F,Ship,4,2,243,3,low,M,3,5703,0
7244,F,Road,4,4,190,2,low,M,2,4460,0
10783,D,Ship,2,1,240,2,low,M,8,1144,1
5809,D,Ship,2,1,197,4,low,M,5,4614,0
9598,B,Flight,3,5,268,3,low,M,7,4910,0
1475,C,Ship,3,1,230,2,medium,F,18,2832,1
4211,C,Ship,4,3,266,3,medium,M,8,4493,0
3864,F,Ship,2,4,143,6,medium,F,1,5514,0
325,D,Ship,5,1,279,4,medium,F,24,3440,1
619,D,Ship,4,1,133,4,medium,M,64,1834,1
8200,B,Road,5,4,180,4,medium,F,7,4200,1
4963,D,Ship,4,5,169,4,low,M,6,4168,1
701,C,Flight,6,1,281,3,medium,F,36,2536,1
277,D,Flight,4,2,136,3,low,F,65,1962,1
2606,F,Flight,3,5,258,3,low,M,21,3446,1
4556,F,Ship,7,2,308,4,low,F,7,1176,0
3448,B,Ship,4,2,161,3,low,F,4,5947,0
2109,A,Ship,4,2,139,3,low,M,29,1365,1
1266,F,Ship,3,5,283,5,low,F,50,2848,1
4908,F,Road,3,4,200,2,medium,F,6,4751,1
5715,A,Ship,4,2,258,7,medium,M,3,4538,1
1911,A,Road,4,5,162,3,low,F,31,1170,1
8137,D,Ship,4,3,177,3,low,M,1,5282,0
5383,D,Ship,3,3,166,2,medium,M,4,4254,1
7002,F,Flight,4,1,181,2,low,M,2,4154,0
3711,A,Flight,2,3,237,3,medium,M,2,5331,0
1766,F,Road,2,2,148,6,medium,F,63,1279,1
5888,F,Flight,3,2,227,2,medium,M,10,4290,0
9885,A,Ship,6,1,259,4,low,F,4,1198,0
5947,D,Ship,4,3,170,6,medium,M,6,4998,0
206,F,Ship,2,3,145,3,medium,F,24,7588,1
8094,F,Flight,5,1,226,4,high,F,2,5600,0
351,A,Ship,4,5,188,3,low,F,13,2409,1
9149,C,Ship,5,5,162,4,low,M,8,1311,0
2546,F,Ship,3,5,183,2,low,F,10,2621,1
5886,F,Road,4,5,231,3,low,F,6,4449,1
7969,D,Ship,4,5,169,4,low,F,6,4213,0
10806,F,Road,5,5,269,5,medium,F,3,1120,0
6101,C,Ship,4,3,163,3,low,F,7,4556,0
5395,D,Ship,4,2,262,3,low,M,4,5085,0
5582,F,Ship,5,5,266,2,medium,M,7,5712,1
8010,F,Ship,6,4,268,4,medium,F,3,1586,0
4429,D,Ship,3,5,246,3,medium,F,2,5653,1
9335,C,Ship,5,4,242,4,medium,F,5,5375,0
6984,F,Flight,3,3,231,3,medium,F,4,4088,0
6519,A,Ship,4,4,266,3,low,M,10,5221,0
6368,F,Ship,3,1,266,3,low,M,5,5154,0
10498,B,Ship,2,3,136,3,low,M,10,4933,0
3021,A,Flight,3,3,253,4,medium,F,57,2489,1
5172,F,Ship,3,3,137,3,medium,M,1,5490,1
3042,F,Ship,4,3,220,4,low,M,19,3602,1
4630,B,Ship,5,5,167,2,medium,M,2,5908,0
3339,A,Ship,3,4,255,2,medium,F,7,4332,1
